tahun;kd_desa;fitur_1;fitur_2;fitur_3;fitur_4;fitur_5;fitur_6;idm
2023;1902022010;4199200;306630870;14175500;181463638;198000000;0;0.6979
2023;1902022011;25770779;323505000;0;131417500;197800000;0;0.83
2023;1902022012;14411000;252139069;107532000;149220500;172800000;0;0.8352
2023;1902032001;14156147;391673492;0;298177288;230400000;0;0.8714
2023;1902032002;24349700;551204295;81908641;257889800;108000000;0;0.8808
2023;1902032003;19987500;657553857;25438000;183165100;172800000;0;0.8557
2023;1902032004;13863500;534529253;56826000;173092000;158400000;0;0.7298
2023;1902042001;22324250;805334650;0;239762400;198000000;0;0.9173
2023;1902042002;8085442;262848699;109470328;256632181;90000000;0;0.7921
2023;1902042003;62636550;432960392;17306000;194496600;219600000;0;0.8195
2023;1902042004;6000000;488506350;0;395890000;248400000;0;0.8194
2023;1902042005;6039000;643424550;153465966;258088000;259200000;0;0.8789
2023;1902042006;17012616;318516650;51786000;364185335;219600000;0;0.7619
2023;1902042007;29522500;618760440;0;435842800;284400000;0;0.7703
2023;1902042008;51080145;327146000;34966000;170351800;183600000;0;0.7973
2023;1902042009;5250000;180571000;3450000;392568501;180000000;0;0.7392
2023;1902042010;0;275375550;55855750;254410000;64800000;0;0.724
2023;1902052001;23780157;377551055;175080847;203296940;176400000;100000000;0.9292
2023;1902052002;20627500;427013015;9530497;164802652;194400000;0;0.8194
2023;1902052003;18383733;704876768;48520000;232320800;133200000;0;0.8663
2023;1902052004;19980757;593300447;41598000;174745000;230400000;0;0.7598
2023;1902052005;27259191;555314848;8025000;215691510;198000000;0;0.8156
2023;1902052006;17132634;607520600;0;138670500;118800000;0;0.7633
2023;1902052007;11020000;466331944;0;121146050;100800000;0;0.7711
2023;1903012004;24556730;666902200;0;32379000;223200000;0;0.841
2023;1903012005;40680120;422132700;0;474293050;223200000;0;0.8222
2023;1903012006;28999916;540056387;10000000;221670000;190800000;0;0.7386
2023;1903012007;32290000;460291500;49035000;185266870;266400000;79868750;0.8751
2023;1903012008;62288500;692538000;103950000;0;180000000;0;0.8956
2023;1903012010;16350000;685375000;0;70653000;223200000;0;0.8021
2023;1903012012;33200000;758099475;164208000;66325000;277200000;0;0.8584
2023;1903012013;11885000;504203500;23715000;11100000;108000000;100000000;0.7359
2023;1903022001;9450300;438022000;216000000;17700000;180000000;0;0.8578
2023;1903022002;23970000;600005000;0;0;201600000;0;0.6784
2023;1903022004;22000000;602179895;0;10850000;133200000;0;0.6752
2023;1903022005;20028000;632847000;10000000;0;154800000;0;0.746
2023;1903032001;38589740;950741500;318175000;0;133200000;0;0.8362
2023;1903032002;19251236;677440000;0;81500000;234000000;0;0.7203
2023;1903032003;20464487;737829667;0;0;82800000;0;0.7437
2023;1903032004;15000000;472725000;142150000;368705000;140400000;0;0.8178
2023;1903032005;25655000;426047000;31200000;181966000;190800000;110000000;0.7275
2023;1903032006;120160000;689968000;10000000;38250000;191700000;145000000;0.8165
2023;1903032007;46162000;795645000;0;196595220;162000000;0;0.8419
2023;1903032008;42700000;732593000;10000000;142000000;129600000;150000000;0.827
2023;1903032009;24000000;591564000;15000000;105500000;90000000;0;0.7557
2023;1903032010;15514000;552706000;140000000;183250000;234000000;0;0.7087
2023;1903042001;70175000;362270000;0;269225000;244800000;100000000;0.7095
2023;1903042002;0;432190000;0;122970000;187200000;0;0.6987
2023;1903042003;45500000;176229350;0;355357168;93600000;260730000;0.7119
2023;1903042004;23054000;505262000;0;114599000;216000000;50000000;0.724
2023;1903042005;26935000;709910359;0;0;180000000;0;0.6889
2023;1903042006;0;412384504;42450000;178484000;140400000;0;0.7505
2023;1903042007;26528500;795626564;0;64097500;147600000;50000000;0.7208
2023;1903052001;10342000;323830250;0;388254100;241200000;0;0.8895
2023;1903052002;39160000;629867000;0;58000000;190800000;0;0.7657
